ont,model,bucket,metric,value
CC,InterPro2GO,tail,Macro-Fmax,0.104459
CC,InterPro2GO,tail,Term-AUPR,0.076494
CC,InterPro2GO,tail,Recall@20,0.111087
CC,ESM2-kNN,head,Macro-Fmax,0.26782
CC,ESM2-kNN,head,Term-AUPR,0.155444
CC,ESM2-kNN,head,Recall@20,0.156633
CC,ESM2-kNN,mid,Macro-Fmax,0.189533
CC,ESM2-kNN,mid,Term-AUPR,0.119496
CC,ESM2-kNN,mid,Recall@20,0.231686
CC,ESM2-kNN,tail,Macro-Fmax,0.155664
CC,ESM2-kNN,tail,Term-AUPR,0.113057
CC,ESM2-kNN,tail,Recall@20,0.1655
CC,MLP-BCE,head,Macro-Fmax,0.238245
CC,MLP-BCE,head,Term-AUPR,0.168301
CC,MLP-BCE,head,Recall@20,0.139878
CC,MLP-BCE,mid,Macro-Fmax,0.206913
CC,MLP-BCE,mid,Term-AUPR,0.145454
CC,MLP-BCE,mid,Recall@20,0.322522
CC,MLP-BCE,tail,Macro-Fmax,0.196463
CC,MLP-BCE,tail,Term-AUPR,0.146916
CC,MLP-BCE,tail,Recall@20,0.348182
CC,DGPRO-PU,head,Macro-Fmax,0.311633
CC,DGPRO-PU,head,Term-AUPR,0.238645
CC,DGPRO-PU,head,Recall@20,0.187931
CC,DGPRO-PU,mid,Macro-Fmax,0.252764
CC,DGPRO-PU,mid,Term-AUPR,0.194315
CC,DGPRO-PU,mid,Recall@20,0.346005
CC,DGPRO-PU,tail,Macro-Fmax,0.22824
CC,DGPRO-PU,tail,Term-AUPR,0.192003
CC,DGPRO-PU,tail,Recall@20,0.3416
